QUADRO	CÓDIGO DO PRODUTO	DESCRIÇÃO DO PRODUTO
0	000101	ALUGUEL ESTIMADO
6	600101	ENERGIA ELETRICA (KWH)
6	600201	AGUA E ESGOTO
6	600301	GAS ENCANADO
6	600401	TELEFONE FIXO
6	600501	ACESSO A INTERNET (DISCADA, BANDA LARGA, VIA SATELITE, VIA RADIO, ETC.)
6	600601	TV POR ASSINATURA (MENSALIDADE E/OU PAY-PER-VIEW)
6	600701	PACOTE COM TELEFONE FIXO E CELULAR
6	600801	PACOTE COM TELEFONE FIXO E INTERNET
6	600901	PACOTE COM TELEFONE FIXO E TV POR ASSINATURA
6	601001	PACOTE COM CELULAR E INTERNET
6	601101	PACOTE COM CELULAR E TV POR ASSINATURA
6	601201	PACOTE COM INTERNET E TV POR ASSINATURA
6	601301	PACOTE COM TELEFONE FIXO, CELULAR E INTERNET
6	601401	PACOTE COM TELEFONE FIXO, CELULAR E TV POR ASSINATURA
6	601501	PACOTE COM TELEFONE FIXO, INTERNET E TV POR ASSINATURA
6	601601	PACOTE COM CELULAR, INTERNET E TV POR ASSINATURA
6	601701	PACOTE COM TELEFONE FIXO, CELULAR, INTERNET E TV POR ASSINATURA
6	601801	AGREGADO (ENERGIA ELETRICA E AGUA E ESGOTO)
6	699901	AGREGADO
7	700101	GAS DE BOTIJAO (COMBUSTIVEL DOMESTICO)
7	700102	GAS DE BUJAO (COMBUSTIVEL DOMESTICO)
7	700201	AGUA PARA USO GERAL
7	700202	PIPA DE AGUA
7	700301	QUEROSENE (COMBUSTIVEL DOMESTICO)
7	700401	ALCOOL (COMBUSTIVEL DOMESTICO)
7	700501	OLEO DIESEL (COMBUSTIVEL DOMESTICO)
7	700601	CARVAO (COMBUSTIVEL DOMESTICO)
7	700701	LENHA (COMBUSTIVEL DOMESTICO)
7	700801	GASOLINA (COMBUSTIVEL DOMESTICO)
7	700901	RECARGA DE BATERIA (ILUMINACAO DOMICILIAR)
7	701001	GAS DE BOTIJAO PARA ILUMINACAO
7	701002	GAS DE BUJAO PARA ILUMINACAO
7	701101	PO DE SERRA (COMBUSTIVEL DOMESTICO)
7	799901	AGREGADO
8	800101	AZULEJO E PISO (PEQUENOS REPAROS)
8	800102	AZULEJO (PEQUENOS REPAROS)
8	800103	PISO (PEQUENOS REPAROS)
8	800104	LAJOTA (PEQUENOS REPAROS)
8	800105	PISO DE CERAMICA (PEQUENOS REPAROS)
8	800201	TIJOLO (PEQUENOS REPAROS)
8	800202	BLOCO DE CERAMICA (PEQUENOS REPAROS)
8	800301	TELHA (BARRO, AMIANTO, FIBRA, ALUMINIO, ETC.) (PEQUENOS REPAROS)
8	800302	TELHA DE BARRO (PEQUENOS REPAROS)
8	800303	TELHA DE AMIANTO (PEQUENOS REPAROS)
8	800304	TELHA DE FIBRA (PEQUENOS REPAROS)
8	800305	TELHA DE ALUMINIO (PEQUENOS REPAROS)
8	800401	CIMENTO (PEQUENOS REPAROS)
8	800402	CIMENTO BRANCO (PEQUENOS REPAROS)
8	800403	CIMENTCOLA OU CIMENTOCOLA (PEQUENOS REPAROS)
8	800501	AREIA, TERRA, BARRO, SAIBRO, CASCALHO, ETC. (PEQUENOS REPAROS)
8	800601	PEDRAS (BRITADA, MARROADA, PARALELEPIPEDO, ETC.) (PEQUENOS REPAROS)
8	800701	MASSA CORRIDA PARA PAREDE (PEQUENOS REPAROS)
8	800801	TINTA (PEQUENOS REPAROS)
8	800802	VERNIZ (PEQUENOS REPAROS)
8	800901	CAL (PEQUENOS REPAROS)
8	800902	CAL VIRGEM (PEQUENOS REPAROS)
8	801001	VIDRO (PEQUENOS REPAROS)
8	801101	MATERIAL HIDRAULICO (TORNEIRA, CANO, ETC) (PEQUENOS REPAROS)
8	801102	TORNEIRA (PEQUENOS REPAROS)
8	801103	CANO (PEQUENOS REPAROS)
8	801201	MATERIAL PARA INSTALACAO ELETRICA (PEQUENOS REPAROS)
8	801202	FIO PARA INSTALACAO ELETRICA (PEQUENOS REPAROS)
8	801203	INTERRUPTOR (PEQUENOS REPAROS)
8	801204	TOMADA (PEQUENOS REPAROS)
8	801301	FERRAGENS (FECHADURA, FERRO, ARAME, PREGO, ETC.) (PEQUENOS REPAROS)
8	801302	FECHADURA (PEQUENOS REPAROS)
8	801303	FERRO (PEQUENOS REPAROS)
8	801304	ARAME (PEQUENOS REPAROS)
8	801305	PREGO (PEQUENOS REPAROS)
8	801306	RALO DE ESGOTAMENTO DE AGUA (PEQUENOS REPAROS)
8	801307	TELA DE ARAME (PEQUENOS REPAROS)
8	801308	TRILHO METALICO (PEQUENOS REPAROS)
8	801309	ROLAMENTO PARA PORTA (PEQUENOS REPAROS)
8	801310	ROLDANA
8	801401	COLA (PEQUENOS REPAROS)
8	801402	COLA DE MADEIRA (PEQUENOS REPAROS)
8	801403	COLA SUPER BOND (PEQUENOS REPAROS)
8	801404	DUREPOX (PEQUENOS REPAROS)
8	801405	COLA DE SAPATEIRO (PEQUENOS REPAROS)
8	801406	EPOX (COLA) (PEQUENOS REPAROS)
8	801501	CAIXA DE DESCARGA (PEQUENOS REPAROS)
8	801601	MADEIRA, TACO, CAIBRO, RIPA, ETC. (PEQUENOS REPAROS)
8	801602	MADEIRA (PEQUENOS REPAROS)
8	801603	TACO (PEQUENOS REPAROS)
8	801604	CAIBRO (PEQUENOS REPAROS)
8	801605	RIPA (PEQUENOS REPAROS)
8	801606	SARRAFO (PEQUENOS REPAROS)
8	801701	ARTIGOS DE JARDINAGEM (PLANTA, TERRA, SEMENTE, VASO, ETC.)
8	801702	PLANTA NATURAL
8	801703	TERRA VEGETAL
8	801704	SEMENTE
8	801705	VASO PARA PLANTA
8	801706	MUDA (PLANTA)
8	801707	XAXIM
8	801708	REGADOR PARA PLANTA
8	801801	PRODUTOS PARA PISCINA
8	801802	CLORO PARA PISCINA
8	801803	SULFATO DE ALUMINIO PARA PISCINA
8	801901	CUPINICIDA
8	801902	VENENO CONTRA CUPIM (CUPINICIDA)
8	802001	RATICIDA
8	802002	VENENO PARA RATO
8	802003	CHUMBINHO MATA-RATOS
8	802101	FUNGICIDA
8	802201	BACTERICIDA
8	802301	DEDETIZACAO, DESRATIZACAO, DESINSETIZACAO, ETC. (MANUTENCAO)
8	802401	MAO-DE-OBRA (PEDREIRO, MARCENEIRO, ELETRICISTA, PINTOR, ETC.) (PEQUENOS REPAROS)
8	802402	PEDREIRO (PEQUENOS REPAROS)
8	802403	MARCENEIRO (PEQUENOS REPAROS)
8	802404	ELETRICISTA (PEQUENOS REPAROS)
8	802405	PINTOR (PEQUENOS REPAROS)
8	802406	VIDRACEIRO (PEQUENOS REPAROS)
8	802407	MANUTENCAO DE CAIXA DE AGUA
8	802408	CONSERTO DE TOLDO (PEQUENOS REPAROS)
8	802409	CONSERTO DE PORTAO ELETRONICO (PEQUENOS REPAROS)
8	802410	MANUTENCAO DE FOSSA SEPTICA
8	802501	MANUTENCAO DE JAZIGO (PEQUENOS REPAROS)
8	802601	PINCEL (PEQUENOS REPAROS)
8	802602	TRINCHA (PEQUENOS REPAROS)
8	802701	ROLO DE PINTURA (PEQUENOS REPAROS)
8	802801	LIXA DE MADEIRA (PEQUENOS REPAROS)
8	802901	ARGAMASSA (PEQUENOS REPAROS)
8	802902	REJUNTE (PEQUENOS REPAROS)
8	803001	BLOCO DE CIMENTO
8	803101	SOLEIRA E PARAPEITO DE JANELA DE QUALQUER MATERIAL (PEQUENOS REPAROS)
8	803201	GESSO (PEQUENOS REPAROS)
8	803301	IMPERMEABILIZANTE
8	803302	MASSA DE VEDACAO DE TELHA
8	803401	CARPETE (PEQUENOS REPAROS)
8	803501	MATERIAL PLASTICO PARA COBERTURA (PEQUENOS REPAROS)
8	803502	TOLDO PLASTICO (PEQUENOS REPAROS)
8	803503	PLASTICO (MATERIAL PARA COBERTURA)  (PEQUENOS REPAROS)
8	803504	TOLDO DE LONA  (PEQUENOS REPAROS)
8	803601	ATERRO (PEQUENOS REPAROS)
8	803701	FORMICA (FOLHA) (PEQUENOS REPAROS)
8	803702	FOLHA DE FORMICA (PEQUENOS REPAROS)
8	803801	PALHA PARA COBERTURA (PEQUENOS REPAROS)
8	803802	SAPE PARA COBERTURA (PEQUENOS REPAROS)
8	803901	BOIA DE CAIXA DE AGUA (PEQUENOS REPAROS)
8	804001	MASSA DE FIXACAO E VEDACAO DE VIDRO (PEQUENOS REPAROS)
8	804101	BANDEIRA DE JANELA (PEQUENOS REPAROS)
8	804201	OXIDO DE FERRO (PARA PISO DE CERAMICA) (PEQUENOS REPAROS)
8	804301	PAPEL DE PAREDE (PEQUENOS REPAROS)
8	804401	MOTOR ELETRICO PARA PORTAO (PEQUENOS REPAROS)
8	804501	CAIXA PARA AR CONDICIONADO (PEQUENOS REPAROS)
8	804601	ALUGUEL DE LIXADEIRA ELETRICA (PEQUENOS REPAROS)
8	804701	CUBA PARA PIA (QUALQUER MATERIAL) (PEQUENOS REPAROS)
8	804702	PIA (CUBA) DE QUALQUER MATERIAL (PEQUENOS REPAROS)
8	804801	LATA VAZIA (USADA EM CONSTRUCAO)
8	804802	BALDE PARA CONSTRUCAO
8	804901	ASFALTO (PEQUENOS REPAROS)
8	805001	FORMICIDA
8	805101	BARATICIDA
8	805201	TELA (POLIESTER, POLIETILENO, ETC.)
8	805301	PEDRA MARMORE PARA BALCAO
8	805401	ESPACADOR PARA CERAMICA
8	805501	TAMPA DE ACO
8	805601	CAIXA DE GORDURA (PEQUENOS REPAROS)
8	805701	CORRIMAO (PEQUENOS REPAROS)
8	805801	ALGICIDA
8	805901	BANDEJA DE PINTURA (PEQUENOS REPAROS)
8	806001	FITA MULTIUSO (ASFALTICA)
8	806101	RATOEIRA
8	806201	LIXA DE PAREDE
8	806301	SOLVENTE (PEQUENOS REPAROS)
8	806401	SELADOR (PEQUENOS REPAROS)
8	806501	LONA (PEQUENOS REPAROS)
8	806601	TEXTURA DE PAREDE (PEQUENOS REPAROS)
8	806701	BUCHA (PEQUENOS REPAROS)
8	806801	SILICONE PARA VEDACAO
8	899901	AGREGADO
9	900101	MONTAGEM DE MOVEIS
9	900201	CONSERTO DE MOVEIS (PECA+MAO-DE-OBRA)
9	900202	REFORMA DE MOVEIS (PECA+MAO-DE-OBRA)
9	900301	CONSERTO DE MOVEIS (PECA)
9	900302	REFORMA DE MOVEIS (PECA)
9	900401	CONSERTO DE MOVEIS (MAO-DE-OBRA)
9	900402	REFORMA DE MOVEIS (MAO-DE-OBRA)
9	900501	CONSERTO DE GELADEIRA (PECA+MAO-DE-OBRA)
9	900601	CONSERTO DE GELADEIRA (PECA)
9	900701	CONSERTO DE GELADEIRA (MAO-DE-OBRA)
9	900801	CONSERTO DE TELEVISAO (PECA+MAO-DE-OBRA)
9	900901	CONSERTO DE TELEVISAO (PECA)
9	901001	CONSERTO DE TELEVISAO (MAO-DE-OBRA)
9	901101	CONSERTO DE MICROCOMPUTADOR (PECA+MAO-DE-OBRA)
9	901201	CONSERTO DE MICROCOMPUTADOR (PECA)
9	901301	CONSERTO DE MICROCOMPUTADOR (MAO-DE-OBRA)
9	901401	ALUGUEL DE TELEFONE FIXO
9	901501	ALUGUEL DE CONSOLE DE VIDEO GAME
9	901601	ALUGUEL DE APARELHO DE DVD OU BLU RAY
9	901701	CONSERTO DE RECEPTOR DE ANTENA PARABOLICA (PECA+MAO-DE-OBRA)
9	901801	CONSERTO DE RECEPTOR DE ANTENA PARABOLICA (PECA)
9	901901	CONSERTO DE RECEPTOR DE ANTENA PARABOLICA (MAO-DE-OBRA)
9	902001	CONSERTO DE ASPIRADOR DE PO (PECA+MAO-DE-OBRA)
9	902101	CONSERTO DE ASPIRADOR DE PO (PECA)
9	902201	CONSERTO DE ASPIRADOR DE PO (MAO-DE-OBRA)
9	902301	CONSERTO DE FREEZER (PECA+MAO DE OBRA)
9	902401	CONSERTO DE FREEZER (PECA)
9	902501	CONSERTO DE FREEZER (MAO DE OBRA)
9	902601	CONSERTO DE FERRO ELETRICO (PECA+MAO-DE-OBRA)
9	902701	CONSERTO DE FERRO ELETRICO (PECA)
9	902801	CONSERTO DE FERRO ELETRICO (MAO-DE-OBRA)
9	902901	CONSERTO DE APARELHO SONORO (PECA+MAO-DE-OBRA)
9	903001	CONSERTO DE APARELHO SONORO (PECA)
9	903101	CONSERTO DE APARELHO SONORO (MAO-DE-OBRA)
9	903201	CONSERTO DE VIDEOCASSETE (PECA+MAO-DE-OBRA)
9	903301	CONSERTO DE VIDEOCASSETE (PECA)
9	903401	CONSERTO DE VIDEOCASSETE (MAO-DE-OBRA)
9	903501	CONSERTO DE MAQUINA DE LAVAR ROUPA (PECA+MAO-DE-OBRA)
9	903601	CONSERTO DE MAQUINA DE LAVAR ROUPA (PECA)
9	903701	CONSERTO DE MAQUINA DE LAVAR ROUPA (MAO-DE-OBRA)
9	903801	CONSERTO DE MAQUINA DE SECAR ROUPA (PECA+MAO-DE-OBRA)
9	903901	CONSERTO DE MAQUINA DE SECAR ROUPA (PECA)
9	904001	CONSERTO DE MAQUINA DE SECAR ROUPA (MAO-DE-OBRA)
9	904101	CONSERTO DE FOGAO (PECA+MAO-DE-OBRA)
9	904201	CONSERTO DE FOGAO (PECA)
9	904301	CONSERTO DE FOGAO (MAO-DE-OBRA)
9	904401	CONSERTO DE AR CONDICIONADO (PECA+MAO-DE-OBRA)
9	904501	CONSERTO DE AR CONDICIONADO (PECA)
9	904601	CONSERTO DE AR CONDICIONADO (MAO-DE-OBRA)
9	904701	CONSERTO DE MAQUINA DE COSTURA (PECA+MAO-DE-OBRA)
9	904801	CONSERTO DE MAQUINA DE COSTURA (PECA)
9	904901	CONSERTO DE MAQUINA DE COSTURA (MAO-DE-OBRA)
